location_1,location_2,business_closed,business_closed_date,business_closed_url,lockdown_closed,lockdown_closed_date,lockdown_closed_url,school_closed,school_closed_date,school_closed_url,college_closed,college_closed_date,college_closed_url,value
Alabama,Montgomery County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Morgan County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Perry County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Pickens County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Pike County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Randolph County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Russell County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Shelby County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,St. Clair County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Sumter County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Talladega County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Tallapoosa County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Tuscaloosa County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Walker County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
Alabama,Washington County,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,Yes,2020-04-04,https://www.al.com/news/2020/04/stay-at-home-order-issued-for-alabama-what-you-can-and-cant-do.html,,,,,,,
